,X,Y,PID,SSL,PMPROPERTYID,PROPERTYNAME,PMPARENTPROPERTYID,PARENTPROPERTYNAME,REPORTINGYEAR,REPORTSTATUS,ADDRESSOFRECORD,OWNEROFRECORD,WARD,REPORTEDADDRESS,CITY,STATE,POSTALCODE,YEARBUILT,PRIMARYPROPERTYTYPE_SELFSELECT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,REPORTEDBUILDINGGROSSFLOORAREA,ENERGYSTARSCORE,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERSCORE_MFPROPERTIES,WATERUSE_ALLWATERSOURCES_KGAL,METEREDAREAS_ENERGY,METEREDAREAS_WATER,NATURALGASUSE_THERMS,FUELOILANDDIESELFUELUSEKBTU,LATITUDE,LONGITUDE,ADDRESSID,XCOORD,YCOORD,GIS_LAST_MOD_DTTM,DISTRCHILLEDWATER_KBTU,DISTRHOTWATER_KBTU,DISTRSTEAM_KBTU,ELECTRICITYUSE_RENEWABLE_KWH,ELECTRICITYUSE_GRID_KWH,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,LASTUPDATE,OBJECTID
4366,-8581521.00658394,4710064.75505587,PM1030454,1374 0850,1030454.0,Somers Hall,,,2017,Data Under Review by DOEE,2100 FOXHALL RD NW,George Washington University,3.0,"2100 Foxhall Road, NW",WASHINGTON,DC,20007,1970.0,Residence Hall/Dormitory,Residence Hall/Dormitory,271712,74541.0,19.0,107.8,109.8,254.7,251.1,718.5,9.6,,3020.3,Whole Building,,29881.67073,0.0,38.9189160647,-77.0891124991,224574.0,392272.088446509,139008.911743061,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,1478979.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3573318
4367,-8577148.04109559,4707052.07215816,PM1032878,0057 0055,1032878.0,Townhouse Row,,,2013,In Compliance,607 23RD ST,George Washington University,2.0,"607 23rd Street, NW",WASHINGTON,DC,20052,2003.0,Residence Hall/Dormitory,Residence Hall/Dormitory,71224,69267.0,33.0,89.2,89.3,215.7,215.8,625.6,9.0,,3269.3,Whole Building,,21328.825,0.0,38.8978566588,-77.0498294958,291181.0,395677.46730005,136668.553202355,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,1185832.71043344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/03/20 04:00:00+00,3573319
4368,-8577148.04109559,4707052.07215816,PM1032878,0057 0055,1032878.0,Townhouse Row,,,2014,In Compliance,607 23RD ST,George Washington University,2.0,"607 23rd St, NW",WASHINGTON,DC,20052,2003.0,Residence Hall/Dormitory,Residence Hall/Dormitory,71224,69267.0,54.0,68.6,67.6,170.7,167.4,516.4,7.5,,2256.5,Whole Building,,14833.5327358,0.0,38.8978566588,-77.0498294958,291181.0,395677.46730305,136668.553199357,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,958059.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/03/20 04:00:00+00,3573320
4369,-8577151.35888219,4707051.14415593,PM1032878,0057 0055,1032878.0,Townhouse Row,,,2015,In Compliance,607 23RD ST NW,George Washington University,2.0,"607 23rd St, NW",Washington,DC,20052,2003.0,Residence Hall/Dormitory,Residence Hall/Dormitory,71224,69267.0,53.0,73.2,71.7,174.2,169.7,529.8,7.6,,1849.5,Whole Building,,18421.82972,0.0,38.8978501709,-77.0498592994,291181.0,395674.881547906,136667.834406152,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,945736.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/03/20 04:00:00+00,3573321
4370,-8577151.35888219,4707051.14415593,PM1032878,0057 0055,1032878.0,Townhouse Row,,,2016,In Compliance,607 23RD ST NW,George Washington University,2.0,"607 23rd St, NW",WASHINGTON,DC,20052,2003.0,Residence Hall/Dormitory,Residence Hall/Dormitory,71224,69267.0,54.0,74.0,73.8,171.5,168.9,463.6,6.7,,1538.9,Whole Building,,20210.60149,0.0,38.8978501709,-77.0498592994,291181.0,395674.881547906,136667.834406152,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,910417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/03/20 04:00:00+00,3573322
4371,-8577151.35888219,4707051.14415593,PM1032878,0057 0055,1032878.0,Townhouse Row,,,2017,In Compliance,607 23RD ST NW,George Washington University,2.0,"607 23rd St, NW",WASHINGTON,DC,20052,2003.0,Residence Hall/Dormitory,Residence Hall/Dormitory,71224,69267.0,53.0,70.2,70.5,164.8,162.2,432.9,6.2,,1756.9,Whole Building,,18470.52863,0.0,38.8978501709,-77.0498592994,291181.0,395674.881547906,136667.834406152,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,884438.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/03/20 04:00:00+00,3573323
6887,-8576693.17489599,4707028.61321192,PM1327534,0103 0042,1327534.0,Potomac House,,,2013,In Compliance,2021 F ST,George Washington University,2.0,"2021 F Street, NW",WASHINGTON,DC,20052,2005.0,Residence Hall/Dormitory,Residence Hall/Dormitory,129014,100127.0,42.0,92.4,92.6,200.1,200.3,854.2,8.5,,7173.1,Whole Building,,43134.149,0.0,38.8976926503,-77.0457433645,302453.0,396031.915600045,136650.161402355,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,1447141.64700528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3575839
6888,-8576693.17489599,4707028.61321192,PM1327534,0103 0042,1327534.0,Potomac House,,,2014,In Compliance,2021 F ST,George Washington University,2.0,"2021 F St, NW",WASHINGTON,DC,20052,2006.0,Residence Hall/Dormitory,Residence Hall/Dormitory,129014,100127.0,48.0,91.0,90.8,189.1,188.3,845.8,8.4,,8717.4,Whole Building,,46262.388183,0.0,38.8976926503,-77.0457433644,302453.0,396031.915605043,136650.16140636,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,1313886.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3575840
6889,-8576671.60168731,4707013.37595593,PM1327534,0103 0042,1327534.0,Potomac House,,,2015,In Compliance,2021 F ST NW,George Washington University,2.0,"2021 F St, NW",Washington,DC,20052,2006.0,Residence Hall/Dormitory,Residence Hall/Dormitory,85100,100127.0,54.0,85.0,86.0,177.8,176.5,794.6,7.9,,8725.7,Whole Building,,42707.133531,0.0,38.8975861216,-77.0455495694,302453.0,396048.72077539,136638.32746616,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,1243057.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3575841
6890,-8576671.60168731,4707013.37595593,PM1327534,0103 0042,1327534.0,Potomac House,,,2016,In Compliance,2021 F ST NW,George Washington University,2.0,"2021 F St, NW",WASHINGTON,DC,20052,2006.0,Residence Hall/Dormitory,Residence Hall/Dormitory,129014,100127.0,52.0,81.9,82.1,182.5,180.4,720.2,7.2,,4248.1,Whole Building,,35834.187902,0.0,38.8975861216,-77.0455495694,302453.0,396048.72077539,136638.32746616,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,1354260.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3575842
