PROPERTYNAME,OWNEROFRECORD,REPORTINGYEAR,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERUSE_ALLWATERSOURCES_KGAL,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER
"Lisner Auditorium, Monroe Hall, and 714 21st St",GEORGE WASHINGTON UNIVERSITY,2015,70.8,69.6,211.3,207.7,1361.1,9.1,6307.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lisner Auditorium, Monroe Hall, and 714 21st St",GEORGE WASHINGTON UNIVERSITY,2016,72.7,72.7,222.9,222.9,1229.9,8.2,3199.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lisner Auditorium, Monroe Hall, and 714 21st St",GEORGE WASHINGTON UNIVERSITY,2017,73.1,71.9,225.8,221.9,1204.1,8.0,4183.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Funger, Duques, and Tompkins Halls",GEORGE WASHINGTON UNIVERSITY,2013,107.2,107.8,269.0,269.5,3863.5,11.2,5733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Funger, Duques, and Tompkins Halls",GEORGE WASHINGTON UNIVERSITY,2014,104.8,103.7,262.7,260.2,3951.0,11.5,5486.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Funger, Duques, and Tompkins Halls",GEORGE WASHINGTON UNIVERSITY,2015,89.1,89.1,216.8,215.0,3272.7,9.5,5991.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Funger, Duques, and Tompkins Halls",GEORGE WASHINGTON UNIVERSITY,2016,89.9,89.4,215.5,213.5,2875.3,8.3,8365.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Funger, Duques, and Tompkins Halls",GEORGE WASHINGTON UNIVERSITY,2017,87.4,88.4,206.5,205.8,2693.5,7.8,5462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Academic Center,GEORGE WASHINGTON UNIVERSITY,2013,120.9,120.9,308.6,308.6,3197.6,12.8,7383.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Academic Center,GEORGE WASHINGTON UNIVERSITY,2014,122.5,122.3,310.1,309.4,3374.7,13.5,11450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Academic Center,GEORGE WASHINGTON UNIVERSITY,2015,205.2,204.2,392.5,389.4,4428.1,17.7,11642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Academic Center,GEORGE WASHINGTON UNIVERSITY,2016,119.3,119.3,273.2,273.2,2669.7,10.7,10214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Academic Center,GEORGE WASHINGTON UNIVERSITY,2017,118.0,119.6,294.6,296.2,2743.2,11.0,4734.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Hall,GEORGE WASHINGTON UNIVERSITY,2013,602.9,602.7,905.3,905.1,17638.1,41.9,40095.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Hall,GEORGE WASHINGTON UNIVERSITY,2014,523.3,523.3,933.6,933.6,18047.6,42.9,29814.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Hall,GEORGE WASHINGTON UNIVERSITY,2015,651.5,663.0,1193.2,1205.3,22878.2,54.4,58451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Hall,GEORGE WASHINGTON UNIVERSITY,2016,936.0,934.4,1415.9,1414.3,26342.6,62.6,33374.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Hall,GEORGE WASHINGTON UNIVERSITY,2017,1148.2,1148.2,1467.8,1467.8,28705.3,68.2,51886.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media and Public Affairs,GEORGE WASHINGTON UNIVERSITY,2013,98.2,98.5,243.0,243.3,1210.7,10.1,1861.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media and Public Affairs,GEORGE WASHINGTON UNIVERSITY,2014,112.8,111.8,275.1,273.5,1439.1,12.0,2095.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media and Public Affairs,GEORGE WASHINGTON UNIVERSITY,2015,100.3,101.3,235.0,236.0,1235.1,10.3,2853.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media and Public Affairs,GEORGE WASHINGTON UNIVERSITY,2016,102.9,102.5,261.0,257.6,1191.3,10.0,4092.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media and Public Affairs,GEORGE WASHINGTON UNIVERSITY,2017,125.6,125.8,330.2,324.4,1452.2,12.2,3630.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smith Center,GEORGE WASHINGTON UNIVERSITY,2013,91.3,91.6,229.7,230.0,1235.6,9.6,7968.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smith Center,GEORGE WASHINGTON UNIVERSITY,2014,92.7,92.0,238.8,237.5,1343.7,10.4,6589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smith Center,GEORGE WASHINGTON UNIVERSITY,2015,91.8,90.8,238.6,234.1,1341.1,10.4,11964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smith Center,GEORGE WASHINGTON UNIVERSITY,2016,87.8,87.4,231.1,227.7,1132.1,8.8,26196.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smith Center,GEORGE WASHINGTON UNIVERSITY,2017,81.5,83.0,193.9,193.3,947.2,7.3,11850.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old Main,GEORGE WASHINGTON UNIVERSITY,2017,97.0,100.6,220.6,222.3,432.5,8.4,252.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lisner & Bell Halls,GEORGE WASHINGTON UNIVERSITY,2014,5.5,5.4,5.7,5.6,30.0,0.3,2333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lisner & Bell Halls,GEORGE WASHINGTON UNIVERSITY,2015,12.7,12.8,13.0,13.2,80.3,0.9,1024.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lisner & Bell Halls,GEORGE WASHINGTON UNIVERSITY,2016,7.2,7.4,7.4,7.6,43.3,0.5,816.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lisner & Bell Halls,GEORGE WASHINGTON UNIVERSITY,2017,4.8,5.4,5.0,5.7,24.0,0.3,1226.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ames Hall,THE GEORGE WASHINGTON UNIVERSITY,2013,30.0,30.0,94.3,94.3,220.6,3.8,132.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ames Hall,THE GEORGE WASHINGTON UNIVERSITY,2014,50.1,49.9,118.6,118.2,302.5,5.2,145.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ames Hall,THE GEORGE WASHINGTON UNIVERSITY,2015,48.4,48.5,117.6,116.3,298.9,5.2,418.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ames Hall,THE GEORGE WASHINGTON UNIVERSITY,2016,46.6,46.8,116.1,115.0,258.5,4.5,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ames Hall,THE GEORGE WASHINGTON UNIVERSITY,2017,52.8,54.2,122.6,122.9,270.5,4.7,974.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stuart Hall & 700 20th St,GEORGE WASHINGTON UNIVERSITY,2014,0.0,0.0,0.0,0.0,0.0,0.0,562.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stuart Hall & 700 20th St,GEORGE WASHINGTON UNIVERSITY,2015,0.0,0.0,0.0,0.0,0.0,0.0,649.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stuart Hall & 700 20th St,GEORGE WASHINGTON UNIVERSITY,2016,0.0,0.0,0.0,0.0,0.0,0.0,470.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stuart Hall & 700 20th St,GEORGE WASHINGTON UNIVERSITY,2017,0.0,0.0,0.0,0.0,0.0,0.0,237.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Burns Law Library, Stockton Hall, and Lerner Hall",GEORGE WASHINGTON UNIVERSITY,2014,12.5,12.5,13.2,13.2,120.0,0.7000000000000001,6691.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Burns Law Library, Stockton Hall, and Lerner Hall",GEORGE WASHINGTON UNIVERSITY,2015,5.5,5.5,5.8,5.8,52.9,0.3,5385.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Burns Law Library, Stockton Hall, and Lerner Hall",GEORGE WASHINGTON UNIVERSITY,2016,9.0,9.0,9.4,9.4,85.8,0.5,3677.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Burns Law Library, Stockton Hall, and Lerner Hall",GEORGE WASHINGTON UNIVERSITY,2017,2.9,2.9,3.0,3.0,27.8,0.2,3250.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corcoran & Samson Halls,GEORGE WASHINGTON UNIVERSITY,2014,0.0,0.0,0.0,0.0,0.0,0.0,1542.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corcoran & Samson Halls,GEORGE WASHINGTON UNIVERSITY,2015,0.0,0.0,0.0,0.0,0.0,0.0,1630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corcoran & Samson Halls,GEORGE WASHINGTON UNIVERSITY,2016,0.0,0.0,0.0,0.0,0.0,0.0,391.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corcoran & Samson Halls,GEORGE WASHINGTON UNIVERSITY,2017,0.0,0.0,0.0,0.0,0.0,0.0,287.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul H.Nitze,JOHNS HOPKINS UNIVERSITY,2018,91.3,90.9,191.9,190.4,421.9,7.2,3277.7,210861.6,213932.4,245664.0,236451.6,293773.2,301962.0,290702.4,309127.2,383850.0,294796.8,230310.0,211885.2,522300.1,329500.1,382100.1,187400.0,36300.0,7000.0,6100.0,6200.0,7400.0,61800.0,231900.0,356700.0
Paul H.Nitze,JOHNS HOPKINS UNIVERSITY,2019,82.2,83.4,178.6,178.0,379.4,6.5,1611.8,175035.6,221097.6,201649.2,236451.6,288655.2,308103.6,310150.7,369151.1,341254.5,237806.2,216839.4,192641.5,312000.1,390199.9,282300.0,139200.0,37700.0,6900.0,7700.0,6800.0,8400.0,32200.0,204200.0,297900.0
Paul H.Nitze,JOHNS HOPKINS UNIVERSITY,2020,67.6,72.1,130.6,135.4,278.9,4.8,850.2,193562.8,199806.7,132737.0,109590.0,123650.9,179744.2,202481.7,206808.1,147842.0,160063.8,169760.6,175834.0,303000.0,303600.1,199900.0,145200.0,64200.0,5900.0,3300.0,3300.0,8200.0,40000.0,383900.1,507000.0
Paul H.Nitze,JOHNS HOPKINS UNIVERSITY,2021,111.0,116.9,214.0,220.2,457.3,7.8,1084.8,152219.6,175984.1,203641.8,212055.8,268299.2,410787.6,373576.4,424319.6,328637.1,231326.8,195784.0,291953.5,678099.9,429800.0,206600.0,176500.0,12000.0,11000.0,8500.0,10700.0,29800.0,353600.0,509799.9,821900.0
Paul H.Nitze,JOHNS HOPKINS UNIVERSITY,2022,112.6,113.7,225.4,224.8,473.5,8.1,1364.0,190564.8,204873.0,250597.2,277769.6,344725.8,372394.3,405030.7,424472.2,366513.3,279985.4,251046.0,225199.5,586050.0,515016.6,392636.7,257381.4,114694.5,23900.7,11405.7,10540.8,34442.5,161784.2,354136.8,558246.3
Paul H.Nitze,JOHNS HOPKINS UNIVERSITY,2023,96.0,104.4,194.1,201.5,414.5,7.1,950.0,225497.3,223118.6,270422.0,295712.4,321355.4,335548.6,381403.6,354735.9,264368.2,164798.4,142093.4,149809.4,538301.6,385712.0,331383.3,135388.1,72978.6,24041.4,7965.8,8019.3,7912.8,86254.8,299163.0,612942.8
Benjamin T. Rome,JOHNS HOPKINS UNIVERSITY,2018,69.3,69.2,140.9,140.1,326.1,5.3,1011.9,153540.0,163776.0,183224.4,178106.4,187318.8,197554.8,223144.8,231333.6,290702.4,222121.2,187318.8,157634.4,488200.1,334099.9,304000.0,188300.0,36900.0,9600.0,6600.0,7800.0,6400.0,26300.0,173000.0,277600.0
Benjamin T. Rome,JOHNS HOPKINS UNIVERSITY,2019,67.7,69.7,137.7,138.9,311.9,5.1,805.5,139209.6,192436.8,182200.8,179130.0,191413.2,206767.2,224168.4,263211.9,231517.9,179365.4,173643.5,162145.1,368300.2,411700.0,272000.0,124800.0,27900.0,6400.0,5900.0,6500.0,6400.0,22400.0,203000.0,352700.0
Benjamin T. Rome,JOHNS HOPKINS UNIVERSITY,2020,60.7,64.7,116.5,120.7,259.4,4.2,951.9,160684.7,167682.7,117772.0,104891.7,120136.5,193869.8,205487.7,177724.3,123149.3,172125.2,166055.2,132743.9,293200.0,298600.0,229500.0,53400.0,123200.0,10900.0,6700.0,6100.0,21200.0,131800.0,279900.0,407800.0
Benjamin T. Rome,JOHNS HOPKINS UNIVERSITY,2021,71.3,71.3,116.7,116.7,281.0,4.6,810.6,89373.9,75899.9,92461.8,113994.9,103602.0,129089.6,156805.3,149104.4,165656.0,117123.7,106983.3,158512.4,376800.0,215500.0,46600.0,27000.0,9700.0,6900.0,6000.0,7000.0,660699.9,195800.0,303200.1,1043409.7
Benjamin T. Rome,JOHNS HOPKINS UNIVERSITY,2022,66.1,67.6,107.1,108.4,259.1,4.2,1126.3,109204.7,105367.8,108789.5,98855.3,110219.5,117036.0,128135.4,134387.0,118060.4,100140.0,93204.1,92831.8,716706.5,546355.3,377835.0,205953.6,71530.3,8389.7,3436.1,3277.4,28486.4,99429.7,236380.6,421584.6
Benjamin T. Rome,JOHNS HOPKINS UNIVERSITY,2023,50.9,59.5,88.2,97.2,209.8,3.4,932.9,96184.7,90799.5,96161.3,90968.6,97167.6,107712.0,130042.4,121664.0,95769.8,109030.5,109231.1,66275.4,447175.0,355828.5,259169.9,111730.1,42492.0,10729.4,3696.4,3650.6,17318.5,79622.0,189588.4,379633.9
Washington College of Law,AMERICAN UNIVERSITY,2013,75.0,75.0,230.9,230.9,1852.7,9.5,3484.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington College of Law,AMERICAN UNIVERSITY,2014,75.8,75.0,233.5,230.8,1979.5,10.2,3654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington College of Law,AMERICAN UNIVERSITY,2015,72.0,71.1,221.5,218.9,1878.3,9.6,3548.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spring Valley Building,AMERICAN UNIVERSITY,2016,47.4,47.3,144.2,144.1,1060.3,5.4,1095273.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spring Valley Building,AMERICAN UNIVERSITY,2017,68.5,68.4,215.1,210.4,1481.7,7.6,2268054.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milken Institute School of Public Health,THE GEORGE WASHINGTON UNIVERSITY,2015,99.2,96.1,265.7,256.1,1757.1,11.5,3113.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milken Institute School of Public Health,THE GEORGE WASHINGTON UNIVERSITY,2016,81.6,81.6,210.3,207.4,1222.0,8.0,2359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milken Institute School of Public Health,THE GEORGE WASHINGTON UNIVERSITY,2017,81.8,85.1,203.5,205.2,1159.8,7.6,2214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reiss Science,GEORGETOWN UNIVERSITY,2013,125.0,125.5,252.3,252.9,1773.9,13.1,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American University Main Campus,AMERICAN UNIVERSITY,2013,115.3,116.5,260.2,261.4,20922.9,11.0,104777.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American University Main Campus,AMERICAN UNIVERSITY,2014,116.2,111.5,260.7,255.8,22842.7,11.6,103527.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American University Main Campus,AMERICAN UNIVERSITY,2015,107.5,109.2,211.1,212.9,18849.1,9.5,65648.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American University Main Campus,AMERICAN UNIVERSITY,2016,110.2,112.5,240.0,240.6,18854.9,9.5,85583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American University Main Campus,AMERICAN UNIVERSITY,2017,101.3,104.9,215.1,216.5,18666.6,8.4,83936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American University Main Campus,AMERICAN UNIVERSITY,2018,101.3,102.7,198.4,199.0,25392.9,7.9,102323.7,13945558.0,12975048.1,12862509.5,13461295.5,15067608.6,15224475.3,17720452.3,16831713.6,18834221.5,13924227.6,15009121.9,12797812.7,18418826.9,16363081.8,19007412.0,8414036.7,2727999.5,2203439.5,1963595.6,2178212.0,2897879.6,6329618.6,14074454.5,20473543.8
American University Main Campus,AMERICAN UNIVERSITY,2019,97.2,98.3,201.7,201.3,24603.5,7.7,83594.4,14241958.3,13760944.7,13607527.0,14047166.0,15631265.3,15405835.6,17919489.6,17280817.4,17560737.8,15573764.7,13647043.4,13740935.7,18124064.2,16628555.8,12501897.9,4943060.0,2833605.3,2310339.7,2223896.0,2720313.8,3119952.6,6807151.5,12470992.8,14091270.6
American University Main Campus,AMERICAN UNIVERSITY,2020,86.8,89.3,173.4,176.1,21203.2,6.7,98579.3,13133607.9,12905065.6,12140840.6,10678891.7,9023774.8,12889669.5,17106757.1,15646565.9,14012454.2,11135110.6,9678498.4,10278068.5,13386976.5,11637268.9,9096049.0,7375734.3,5267338.2,3561305.1,4678853.1,4808033.9,4368439.0,6883601.1,10768464.5,14837727.3
American University Main Campus,AMERICAN UNIVERSITY,2021,98.0,100.0,170.5,172.6,22131.0,6.8,129840.6,8828020.0,8751075.6,9690563.7,9447114.4,10409214.0,11821244.2,14182593.5,13809583.5,8876085.3,9071742.0,10788941.7,9825653.7,20079902.4,17610366.9,15677553.1,11753792.0,10571292.8,10184635.1,10280693.7,9768548.7,10439065.1,14033809.4,15826397.3,19362785.7
