PROPERTYNAME,OWNEROFRECORD,REPORTINGYEAR,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERUSE_ALLWATERSOURCES_KGAL,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER
Trinity Washington University,TRINITY COLLEGE,2022,96.3,97.5,159.9,160.5,3830.1,6.3,15544.2,1419226.9,1306306.9,1528339.5,1456394.3,1723118.0,2013126.4,2414124.3,2439857.9,1792471.7,1509395.2,1500222.6,1448912.9,6535543.4,5386498.8,4530228.3,2845317.2,1585383.3,1164311.2,986438.2,949958.3,1234488.5,2500641.3,4483090.2,6197795.2
Trinity Washington University,TRINITY COLLEGE,2023,97.1,107.4,159.5,169.8,3895.4,6.4,18208.4,1472492.6,1389884.3,1526690.3,1494948.1,1575002.4,1739973.1,2095560.6,2282570.0,1981154.8,1646482.7,1472707.6,1441300.8,6752555.3,5273879.7,4811856.6,2742622.3,1456211.0,1144903.4,1117188.1,1212368.3,1474450.5,2494153.6,4699502.7,6120433.7
DOEE - Mount Vernon Campus,THE GEORGE WASHINGTON UNIVERSITY,2018,94.5,95.6,183.8,183.8,1926.3,7.1,9182.8,856068.6,895176.6,943651.7,1057054.3,1248125.5,1169669.9,1188604.7,1379703.0,1604162.6,1245211.1,813223.4,747950.9,2087841.1,1413819.0,1776276.9,1108699.3,590755.4,319099.8,356688.1,384669.6,524035.1,1259631.5,1373252.5,1378718.7
DOEE - Mount Vernon Campus,THE GEORGE WASHINGTON UNIVERSITY,2019,94.7,96.1,196.5,196.4,2011.6,7.4,10536.1,977894.1,873565.7,998532.8,1178596.2,1431618.2,1368741.4,1616450.4,1636790.5,1547744.8,1415383.5,1071675.9,982013.1,1435670.7,1400135.0,1322364.8,852466.3,575473.7,285625.2,244875.9,310445.5,502637.6,775695.1,1433205.2,1525704.0
DOEE - Mount Vernon Campus,THE GEORGE WASHINGTON UNIVERSITY,2020,81.1,83.3,154.1,156.6,1629.2,6.0,32729.9,860453.6,770715.7,762274.1,725064.7,899371.2,1195526.9,1213318.5,1115812.5,960578.2,832861.5,665733.5,707617.1,1465054.4,1377117.5,1087585.3,824177.8,543252.9,276018.2,520938.3,1938341.8,332876.1,707688.9,1001126.5,1302084.5
BEPS1 - Mount Vernon Campus,GEORGE WASHINGTON UNIVERSITY,2021,74.0,74.9,146.9,146.4,1497.8,5.5,1582.8,595061.4,550669.3,683243.6,713774.7,863245.4,1133501.0,1110030.2,1200300.5,1243604.8,1069578.9,805037.1,786426.2,1619881.7,1521295.8,978825.4,804499.2,484536.3,342368.4,227198.8,245618.8,410938.8,660541.5,906911.7,1197120.2
BEPS1 - Mount Vernon Campus,GEORGE WASHINGTON UNIVERSITY,2022,73.7,74.0,148.8,148.0,1443.7,5.3,1086.1,658286.7,667171.4,807632.4,785405.8,971491.5,1198059.4,1197569.2,1366736.7,1082406.7,824035.9,855303.5,692028.6,1516453.7,1019347.1,850585.8,928716.1,432373.2,260882.8,221742.9,236347.7,396016.2,677687.7,1091330.6,1332310.6
BEPS1 - Mount Vernon Campus,THE GEORGE WASHINGTON UNIVERSITY,2023,71.9,74.8,143.6,145.6,1431.3,5.2,1193.5,660402.3,675778.4,749403.2,828262.4,1021886.7,1070770.4,1058028.4,1291124.6,1006734.8,849982.2,769105.6,623607.5,1241669.8,1243004.8,1143622.8,612333.3,445775.6,426514.7,282325.4,177036.1,327453.4,704739.9,1186800.0,1212968.7
Bernstein Offit Building,THE JOHN HOPKINS UNIVERSITY,2018,74.1,74.8,143.8,144.6,678.7,5.5,1267.9,174573.3,243397.5,343323.5,336361.5,411559.8,461025.1,507619.9,537026.8,504060.2,435538.5,362050.7,305105.4,1052027.3,767793.7,684539.1,307355.6,66197.7,3433.5,3444.0,37641.0,83245.7,299955.3,538539.6,605374.2
Bernstein Offit Building,THE JOHN HOPKINS UNIVERSITY,2019,75.7,78.1,146.9,147.8,679.9,5.6,1270.2,301631.8,289483.1,338115.9,347535.4,420362.8,427178.0,501656.4,531182.4,465916.4,428247.8,350507.0,314436.7,727331.3,1223710.3,782119.8,410913.0,152976.6,13748.4,3385.8,3488.4,4104.0,92340.0,516283.2,625449.5
